2025-07-31 09:21:57,155 - INFO - Parse DEF C:/Users/nandu/EDA/DesignAnalyzer/test/design_files/design_2/ac97_ctrl.def started...
2025-07-31 09:21:57,355 - INFO - Parse DEF C:/Users/nandu/EDA/DesignAnalyzer/test/design_files/design_2/ac97_ctrl.def finished.
2025-07-31 09:21:57,355 - WARNING - Invalid component entry: Component(inst_name_id=150, cell_name_id=151, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,360 - WARNING - Invalid component entry: Component(inst_name_id=152, cell_name_id=153, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,360 - WARNING - Invalid component entry: Component(inst_name_id=154, cell_name_id=151, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,360 - WARNING - Invalid component entry: Component(inst_name_id=155, cell_name_id=151, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,360 - WARNING - Invalid component entry: Component(inst_name_id=156, cell_name_id=151, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,360 - WARNING - Invalid component entry: Component(inst_name_id=157, cell_name_id=151, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,360 - WARNING - Invalid component entry: Component(inst_name_id=158, cell_name_id=151, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,360 - WARNING - Invalid component entry: Component(inst_name_id=159, cell_name_id=151, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,366 - WARNING - Invalid component entry: Component(inst_name_id=160, cell_name_id=151, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,366 - WARNING - Invalid component entry: Component(inst_name_id=161, cell_name_id=151, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,368 - WARNING - Invalid component entry: Component(inst_name_id=162, cell_name_id=151, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,370 - WARNING - Invalid component entry: Component(inst_name_id=163, cell_name_id=164, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,372 - WARNING - Invalid component entry: Component(inst_name_id=165, cell_name_id=166, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,372 - WARNING - Invalid component entry: Component(inst_name_id=167, cell_name_id=168, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,372 - WARNING - Invalid component entry: Component(inst_name_id=169, cell_name_id=164, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,372 - WARNING - Invalid component entry: Component(inst_name_id=170, cell_name_id=166, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,376 - WARNING - Invalid component entry: Component(inst_name_id=171, cell_name_id=168, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,376 - WARNING - Invalid component entry: Component(inst_name_id=172, cell_name_id=173, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,376 - WARNING - Invalid component entry: Component(inst_name_id=174, cell_name_id=166, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
2025-07-31 09:21:57,382 - WARNING - Invalid component entry: Component(inst_name_id=175, cell_name_id=168, eeqmaster_id=None, source=None, placed=None, fixed=None, cover=None, unplaced=False, halo=None, routehalo=None, weight=None, region_id=None, properties={}, type_id=None, location=None)
